,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,parrilla,gimnasio,sum,pileta,hidromasaje,vigilancia,playrooom,cancha,solarium,al_frente,nuevo,lavadero,aire,calefaccion,luminoso,garage,balcon,baulera,terraza,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza
39,-34.6064821857,-58.45840488050001,64500.0,28.0,25.0,2303.5714285714284,2580.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
40,-34.609806299999995,-58.4547167,91000.0,42.0,37.0,2166.6666666666665,2459.45945945946,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
41,-34.590242879899996,-58.4364018732,179000.0,70.0,61.0,2557.142857142857,2934.426229508197,3.0,9.0,0.0,2.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
42,-34.609693799999995,-58.41981850000001,210000.0,77.0,72.0,2727.2727272727275,2916.666666666666,4.0,20.0,1.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
43,-34.6040507,-58.4324956,355000.0,200.0,178.0,1775.0,1994.3820224719104,5.0,5.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
44,-34.626675382399995,-58.37266568890001,108356.0,41.0,36.0,2642.829268292683,3009.888888888889,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
45,-34.6176909,-58.4228255,120000.0,56.0,47.0,2142.8571428571427,2553.191489361701,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
46,-34.590333,-58.38647710000001,690000.0,235.0,235.0,2936.170212765957,2936.170212765957,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
47,-34.57478820000001,-58.46376850000001,520000.0,150.0,130.0,3466.666666666666,4000.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
48,-34.5910354,-58.40062320000001,378000.0,140.0,136.0,2700.0,2779.4117647058824,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
49,-34.6182635,-58.46745799999999,72000.0,32.0,32.0,2250.0,2250.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,-34.6182635,-58.46745799999999,120000.0,120.0,50.0,1000.0,2400.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
51,-34.584641,-58.411582,379900.0,175.0,175.0,2170.8571428571427,2170.8571428571427,5.0,1.0,0.0,0.0,5.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
52,-34.58489,-58.419,95000.0,43.0,43.0,2209.3023255813955,2209.3023255813955,2.0,12.0,0.0,2.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,-34.562043,-58.461685,117000.0,44.0,44.0,2659.090909090909,2659.090909090909,2.0,7.0,0.0,0.0,4.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
54,-34.572645,-58.482177,230000.0,97.0,97.0,2371.1340206185573,2371.1340206185573,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
55,-34.596335,-58.409886,250000.0,122.0,122.0,2049.180327868853,2049.180327868853,4.0,9.0,0.0,1.0,6.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
56,-34.6209278,-58.44587360000001,65500.0,28.0,25.0,2339.285714285714,2620.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
57,-34.571149600000005,-58.4232966,310000.0,106.0,100.0,2924.528301886793,3100.0,3.0,9.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
58,-34.5955984,-58.4127129,167000.0,43.0,43.0,3883.720930232558,3883.720930232558,2.0,7.0,0.0,1.0,4.0,0.0,2.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
59,-34.6211839,-58.37311629999999,94000.0,55.0,55.0,1709.090909090909,1709.090909090909,3.0,4.0,0.0,2.0,2.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
60,-34.5895459,-58.39736360000001,105000.0,28.0,28.0,3750.0,3750.0,1.0,17.0,0.0,2.0,4.0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
61,-34.5955984,-58.4127129,130000.0,37.0,37.0,3513.5135135135133,3513.5135135135133,1.0,7.0,0.0,1.0,4.0,0.0,2.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
62,-34.5955984,-58.4127129,235000.0,61.0,61.0,3852.4590163934417,3852.4590163934417,2.0,7.0,0.0,1.0,4.0,0.0,2.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
63,-34.5927419,-58.406147,155000.0,43.0,37.0,3604.6511627906975,4189.189189189189,1.0,10.0,1.0,0.0,4.0,1.0,0.0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
64,-34.5927419,-58.406147,245000.0,75.0,51.0,3266.666666666666,4803.921568627451,1.0,10.0,1.0,0.0,4.0,1.0,0.0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
65,-34.5978120648,-58.425596533400004,78490.0,38.0,32.0,2065.5263157894738,2452.8125,1.0,8.0,0.0,0.0,4.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
66,-34.5993216,-58.3944644,100000.0,29.0,29.0,3448.2758620689656,3448.2758620689656,2.0,14.0,1.0,1.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
67,-34.6284062566,-58.4659506445,100000.0,50.0,45.0,2000.0,2222.222222222222,2.0,12.0,0.0,1.0,4.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
68,-34.6284062566,-58.4659506445,105000.0,50.0,45.0,2100.0,2333.333333333333,2.0,12.0,0.0,1.0,4.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
69,-34.593081813898024,-58.40055426231589,290000.0,104.0,102.0,2788.4615384615386,2843.137254901961,3.0,6.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
70,-34.627185600000004,-58.481557,85000.0,51.0,51.0,1666.666666666667,1666.666666666667,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
71,-34.61591370000001,-58.41585870000001,289000.0,228.0,167.0,1267.5438596491229,1730.5389221556884,6.0,6.0,0.0,2.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
72,-34.61591370000001,-58.41585870000001,289000.0,228.0,167.0,1267.5438596491229,1730.5389221556884,5.0,6.0,0.0,2.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
73,-34.61591370000001,-58.41585870000001,289000.0,228.0,167.0,1267.5438596491229,1730.5389221556884,4.0,6.0,0.0,2.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
74,-34.6259473144,-58.4328219442,158000.0,71.0,62.0,2225.3521126760565,2548.387096774193,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
75,-34.572860247,-58.4396162589,585000.0,304.0,185.0,1924.342105263158,3162.162162162162,4.0,4.0,0.0,2.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
76,-34.572860247,-58.4396162589,585000.0,304.0,185.0,1924.342105263158,3162.162162162162,6.0,4.0,0.0,2.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
77,-34.5803723,-58.4143806,465000.0,159.0,140.0,2924.528301886793,3321.4285714285716,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
78,-34.57154091,-58.4321322175,185000.0,36.0,33.0,5138.88888888889,5606.060606060605,2.0,6.0,0.0,4.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
79,-34.6329048,-58.46720799999999,63000.0,31.0,31.0,2032.2580645161293,2032.2580645161293,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,-34.5499217064,-58.4508016024,360000.0,147.0,143.0,2448.9795918367345,2517.482517482517,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,-34.5639829756,-58.45013017300001,1450000.0,463.0,286.0,3131.7494600431964,5069.93006993007,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
82,-34.586109,-58.3875047,179500.0,40.0,4.0,4487.5,44875.0,2.0,10.0,0.0,6.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
83,-34.589059000000006,-58.410881,375000.0,137.0,137.0,2737.2262773722628,2737.2262773722628,4.0,15.0,1.0,0.0,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
84,-34.613255,-58.469753,104900.0,55.0,55.0,1907.2727272727273,1907.2727272727273,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
85,-34.627946,-58.46149200000001,249000.0,158.0,158.0,1575.9493670886075,1575.9493670886075,6.0,17.0,1.0,2.0,6.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
86,-34.5663225,-58.46308570000001,170000.0,69.0,69.0,2463.768115942029,2463.768115942029,2.0,3.0,0.0,5.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
87,-34.623473,-58.45892779999999,92000.0,68.0,35.0,1352.9411764705885,2628.5714285714284,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
88,-34.582680955727966,-58.42436832577609,138000.0,35.0,35.0,3942.857142857143,3942.857142857143,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
89,-34.617942,-58.460455,88000.0,46.0,46.0,1913.043478260869,1913.043478260869,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
90,-34.617048,-58.460831000000006,103500.0,51.0,51.0,2029.4117647058827,2029.411764705883,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
91,-34.617048,-58.460831000000006,86000.0,44.0,44.0,1954.5454545454545,1954.5454545454545,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
92,-34.638369299999994,-58.4790524,74000.0,55.0,45.0,1345.4545454545455,1644.4444444444446,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
93,-34.6269413949,-58.4692424492,96000.0,51.0,46.0,1882.3529411764707,2086.9565217391305,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
94,-34.625064431300004,-58.4714895185,238000.0,131.0,122.0,1816.793893129771,1950.819672131148,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
95,-34.5810409,-58.40622140000001,134000.0,34.0,30.0,3941.176470588234,4466.666666666667,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
96,-34.5731105,-58.4224486,1080000.0,199.0,191.0,5427.13567839196,5654.450261780105,5.0,5.0,0.0,4.0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0
