,Unnamed: 0.1,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza,_parrilla,_gimnasio,_sum,_pileta,_hidromasaje,_vigilancia,_playrooom,_cancha,_solarium,_al_frente,_nuevo?,_lavadero,_aire,_calefaccion,_luminoso,_garage,_balcon,_baulera,_terraza
158,1394,1850000.0,360.0,360.0,5138.888888888889,5138.88888888889,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
161,1471,81200.0,35.0,32.0,2320.0,2537.5,1.0,4.0,0.0,0.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1
162,1483,104156.0,48.0,48.0,2169.9166666666665,2169.9166666666665,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
163,1485,102072.29,35.0,35.0,2916.351142857143,52000.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
164,1486,111100.0,44.0,44.0,2525.0,2525.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0
165,1487,96250.8,37.0,37.0,2601.372972972973,46383.78378378379,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
166,1533,120000.0,42.0,42.0,2857.142857142857,2857.142857142857,1.0,9.0,1.0,3.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
167,1542,118526.0,42.0,42.0,2822.0476190476193,2822.04761904762,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,1543,119144.0,42.0,42.0,2836.7619047619046,2836.761904761905,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,1544,119761.0,42.0,42.0,2851.4523809523807,2851.452380952381,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170,1545,120378.0,42.0,42.0,2866.1428571428573,2866.142857142857,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
171,1546,127710.0,40.0,40.0,3192.75,3192.75,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
172,1547,128393.0,40.0,40.0,3209.825,3209.825,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,1548,129076.0,40.0,40.0,3226.9,3226.9,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
174,1549,132437.0,40.0,40.0,3310.925,3310.925,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,1550,133130.0,40.0,40.0,3328.25,3328.25,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,1574,275000.0,82.0,82.0,3353.6585365853657,3353.6585365853657,4.0,10.0,2.0,0.0,6.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
180,1587,89500.0,41.0,41.0,2182.9268292682927,2182.9268292682927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
181,1588,264000.0,122.0,122.0,2163.934426229508,2163.934426229508,3.0,13.0,1.0,1.0,5.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
182,1615,176000.0,42.0,37.0,4190.476190476191,4756.756756756758,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
183,1616,227000.0,66.0,32.0,3439.393939393939,7093.75,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
184,1617,163000.0,89.0,30.0,1831.4606741573034,5433.333333333333,1.0,12.0,0.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
185,1618,1250000.0,295.0,295.0,4237.28813559322,4237.28813559322,5.0,6.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0
186,1631,90000.0,38.0,38.0,2368.421052631579,2368.421052631579,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
187,1660,70900.0,32.0,30.0,2215.625,2363.333333333333,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
271,4290,107000.0,35.0,35.0,3057.142857142857,3057.142857142857,2.0,22.0,1.0,2.0,5.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
272,4296,239000.0,132.0,122.0,1810.6060606060605,1959.016393442623,3.0,8.0,1.0,1.0,2.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
273,4300,130000.0,36.0,32.0,3611.111111111111,4062.5,1.0,9.0,0.0,4.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
274,4305,1200000.0,200.0,200.0,6000.0,6000.0,5.0,2.0,0.0,2.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
275,4310,178000.0,41.0,37.0,4341.463414634146,4810.810810810811,1.0,7.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
276,4311,505000.0,120.0,110.0,4208.333333333333,4590.909090909091,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
277,4312,235000.0,92.0,90.0,2554.3478260869565,2611.1111111111113,3.0,15.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
278,4313,360000.0,92.0,87.0,3913.0434782608704,4137.931034482759,4.0,9.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
279,4314,690000.0,237.0,237.0,2911.3924050632922,2911.3924050632922,4.0,17.0,0.0,2.0,4.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0
280,4322,95000.0,37.0,33.0,2567.5675675675675,2878.787878787879,1.0,6.0,0.0,1.0,3.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
281,4330,490000.0,193.0,188.0,2538.860103626943,2606.3829787234044,6.0,12.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
282,4333,110000.0,85.0,72.0,1294.1176470588236,1527.7777777777774,3.0,19.0,0.0,1.0,7.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
283,4335,95000.0,38.0,38.0,2500.0,2500.0,1.0,8.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
284,4386,131545.72,36.0,36.0,3654.047777777778,65153.5,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
285,4387,341071.7,104.0,104.0,3279.535576923077,58475.75961538463,4.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
286,4388,224542.38,83.0,83.0,2705.329879518072,48237.38554216868,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
287,4389,234439.8,83.0,83.0,2824.5759036144577,50363.60240963855,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
288,4390,248343.17,83.0,83.0,2992.086385542169,53350.39759036145,3.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
289,4402,99500.0,32.0,32.0,3109.375,3109.375,1.0,9.0,0.0,0.0,3.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
290,4410,320000.0,100.0,100.0,3200.0,3200.0,4.0,12.0,0.0,4.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
291,4445,199900.0,78.0,78.0,2562.8205128205127,2562.820512820513,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0
292,4511,80031.4,48.0,48.0,1667.3208333333332,29729.16666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0
293,4537,144500.0,60.0,54.0,2408.333333333333,2675.925925925926,2.0,7.0,1.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
294,4538,224500.0,119.0,94.0,1886.5546218487395,2388.2978723404253,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
295,4539,144500.0,60.0,54.0,2408.333333333333,2675.925925925926,2.0,7.0,1.0,0.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
